Birleşik Belirtiler;Triyaj Cevap
bilincim bulanık nerede olduğumu hatırlayamıyorum ve başım dönüyor;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
idrar yaparken çok şiddetli yanma ve sancı var şikayetim var;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
boğazım hafif yanıyor ve kuru öksürüğüm var şikayetim var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ve midem bulanıyor;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
yüzümde ani bir kayma oldu ve konuşamıyorum ve midem bulanıyor;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
karnımın sağ alt tarafı çok şiddetli ağrıyor ve midem bulanıyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor ayrıca biraz halsizim;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
kendimi gayet enerjik ve sağlıklı hissediyorum şikayetim var;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
burnum akıyor hapşırıyorum ve biraz halsizim;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
fışkırır tarzda durdurulamayan bir kanamam var ayrıca biraz halsizim;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
kendimi gayet enerjik ve sağlıklı hissediyorum şikayetim var;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
karnımın sağ alt tarafı çok şiddetli ağrıyor şikayetim var;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
boğazım hafif yanıyor ve kuru öksürüğüm var durumu yaşıyorum;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
vücudumda hafif kaşıntı ve kızarıklıklar var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
hafif bir baş ağrım var sanırım uykusuz kaldım ve başım dönüyor;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
sol kolum uyuşuyor ve kalbim çok sıkışıyor durumu yaşıyorum;🔴 ACİL DURUM: Kardiyak bir kriz belirtisidir. Vakit kaybetmeden bir yakınınızdan yardım isteyin ve en yakın hastanenin acil servisine başvurun.
burnum akıyor hapşırıyorum ve biraz halsizim ve midem bulanıyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
iyiyim şu an hiçbir sağlık şikayetim yok şikayetim var;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
fışkırır tarzda durdurulamayan bir kanamam var şikayetim var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
dizimin üzerine düştüm çok şişti ve basamıyorum ayrıca biraz halsizim;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
idrar yaparken çok şiddetli yanma ve sancı var;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
bilincim bulanık nerede olduğumu hatırlayamıyorum ve başım dönüyor;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
şu an bir sorunum yok her şey yolunda gidiyor durumu yaşıyorum;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var şikayetim var;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
vücudumda hafif kaşıntı ve kızarıklıklar var ve midem bulanıyor;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
şu an bir sorunum yok her şey yolunda gidiyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
burnum akıyor hapşırıyorum ve biraz halsizim ve başım dönüyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
vücudumda hafif kaşıntı ve kızarıklıklar var durumu yaşıyorum;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
karnımın sağ alt tarafı çok şiddetli ağrıyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
şu an bir sorunum yok her şey yolunda gidiyor ve midem bulanıyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
burnum akıyor hapşırıyorum ve biraz halsizim;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
sol kolum uyuşuyor ve kalbim çok sıkışıyor;🔴 ACİL DURUM: Kardiyak bir kriz belirtisidir. Vakit kaybetmeden bir yakınınızdan yardım isteyin ve en yakın hastanenin acil servisine başvurun.
